Building,Identifier,Bed,Bath,Sq Ft,Rent Amount,QTY,Date Logged
8,"302 Prairie Heights Drive, #202, Verona, WI 53593",2,2,"1,186",1905.0,1,08_15_2026
8,"290 Prairie Heights Drive, #103, Verona, WI 53593",1,1,756,1535.0,1,08_15_2026
8,"200 Prairie Heights Drive, #106, Verona, WI 53593",1,1,800,1535.0,1,08_15_2026
8,"202 Prairie Heights Drive, #313, Verona, WI 53593",1,1,840,1535.0,1,08_15_2026
8,"202 Prairie Heights Drive, #111, Verona, WI 53593",2,2,"1,255",1905.0,1,08_15_2026
8,"200 Prairie Heights Drive, #312, Verona, WI 53593",1,1,756,1615.0,1,08_15_2026
8,"290 Prairie Heights Drive, #311, Verona, WI 53593",1,1.5,760,1540.0,1,08_15_2026
8,"290 Prairie Heights Drive, #207, Verona, WI 53593",Studio,1,504,1330.0,1,08_15_2026
8,"302 Prairie Heights Drive, #310, Verona, WI 53593",1,1.5,810,1540.0,1,08_15_2026
8,"302 Prairie Heights Drive, #110, Verona, WI 53593",1,1,756,1535.0,1,08_15_2026
8,"200 Prairie Heights Drive, #203, Verona, WI 53593",1,1,756,1535.0,1,08_15_2026
8,"302 Prairie Heights Drive, #212, Verona, WI 53593",2,2,"1,251",1905.0,1,08_15_2026
