Company,Building,City,Identifier,Bed,Bath,Sq Ft,Available Date,Rent Amount,Application Fee,Security Deposit,Date Logged
Regency Property Management Inc,Prairie Crest Apartments,Verona,"302 Prairie Heights Drive, #202, Verona, WI 53593",2,2,"1,186",Now,"$1,905",$30,$952,07_31_2026
Regency Property Management Inc,Prairie Crest Apartments,Verona,"290 Prairie Heights Drive, #103, Verona, WI 53593",1,1,756,8/1/26,"$1,535",$30,$767,07_31_2026
Regency Property Management Inc,Prairie Crest Apartments,Verona,"200 Prairie Heights Drive, #106, Verona, WI 53593",1,1,800,Now,"$1,535",$30,$767,07_31_2026
Regency Property Management Inc,Prairie Crest Apartments,Verona,"202 Prairie Heights Drive, #313, Verona, WI 53593",1,1,840,Now,"$1,535",$30,$767,07_31_2026
Regency Property Management Inc,Prairie Crest Apartments,Verona,"202 Prairie Heights Drive, #111, Verona, WI 53593",2,2,"1,255",8/1/26,"$1,905",$30,$952,07_31_2026
Regency Property Management Inc,Prairie Crest Apartments,Verona,"200 Prairie Heights Drive, #312, Verona, WI 53593",1,1,756,Now,"$1,615",$30,$817,07_31_2026
Regency Property Management Inc,Prairie Crest Apartments,Verona,"290 Prairie Heights Drive, #311, Verona, WI 53593",1,1.5,760,8/1/26,"$1,540",$30,$770,07_31_2026
Regency Property Management Inc,Prairie Crest Apartments,Verona,"290 Prairie Heights Drive, #207, Verona, WI 53593",Studio,1,504,9/1/26,"$1,330",$30,$665,07_31_2026
Regency Property Management Inc,Prairie Crest Apartments,Verona,"302 Prairie Heights Drive, #310, Verona, WI 53593",1,1.5,810,10/1/26,"$1,540",$30,$770,07_31_2026
Regency Property Management Inc,Prairie Crest Apartments,Verona,"302 Prairie Heights Drive, #110, Verona, WI 53593",1,1,756,8/1/26,"$1,535",$30,$767,07_31_2026
Regency Property Management Inc,Prairie Crest Apartments,Verona,"200 Prairie Heights Drive, #203, Verona, WI 53593",1,1,756,9/1/26,"$1,535",$30,$767,07_31_2026
Regency Property Management Inc,Prairie Crest Apartments,Verona,"302 Prairie Heights Drive, #212, Verona, WI 53593",2,2,"1,251",9/1/26,"$1,905",$30,$952,07_31_2026
